City,Country,Date (YYYY-MM-DD),Max Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,UNIX Timestamp
Mar del Plata,AR,2018-11-12,60.91,62,7.74,20,-46.43,-67.52,1541986135
Punta Arenas,CL,2018-11-12,53.6,46,24.16,40,-53.16,-70.91,1541984700
Cape Town,ZA,2018-11-12,55.4,93,14.99,75,-33.93,18.42,1541985240
Provideniya,RU,2018-11-12,26.6,68,17.9,75,64.42,-173.23,1541982600
Portel,PT,2018-11-12,55.4,100,4.7,75,38.31,-7.71,1541984400
Severo-Kurilsk,RU,2018-11-12,41.86,99,7.81,48,50.68,156.12,1541986463
Bima,ID,2018-11-12,83.98,86,1.99,56,-8.45,118.73,1541986756
Le Port,FR,2018-11-12,41.55,71,3.22,8,42.87,1.37,1541986757
Puerto Ayora,EC,2018-11-12,75.2,73,13.87,20,-0.74,-90.35,1541980800
Sao Joao da Barra,BR,2018-11-12,75.89,100,11.88,24,-21.64,-41.05,1541986126
Ostrovnoy,RU,2018-11-12,29.8,93,17.81,48,68.05,39.51,1541986337
Kiama,AU,2018-11-12,71.6,56,8.05,20,-34.67,150.86,1541980800
Rikitea,PF,2018-11-12,71.61,100,9.6,8,-23.12,-134.97,1541986310
Vila Velha,BR,2018-11-12,80.6,74,11.41,20,-3.71,-38.6,1541984400
Labuhan,ID,2018-11-12,77.55,94,3.0,76,-2.54,115.51,1541986442
Kloulklubed,PW,2018-11-12,84.2,79,10.29,75,7.04,134.26,1541983800
Honningsvag,NO,2018-11-12,40.96,94,13.11,64,70.98,25.97,1541986350
Razdolinsk,RU,2018-11-12,-8.72,100,6.35,32,58.42,94.62,1541986758
Pangnirtung,CA,2018-11-12,8.16,100,8.59,0,66.15,-65.72,1541986415
Touros,BR,2018-11-12,79.54,85,12.44,92,-5.2,-35.46,1541986145
Lebanon,US,2018-11-12,30.92,65,3.36,1,43.64,-72.25,1541985300
Nikolskoye,RU,2018-11-12,35.6,74,11.18,90,59.7,30.79,1541982600
Khatanga,RU,2018-11-12,-12.05,58,3.27,64,71.98,102.47,1541986369
Port Alfred,ZA,2018-11-12,69.04,88,19.04,76,-33.59,26.89,1541986331
Qaanaaq,GL,2018-11-12,0.96,100,11.16,68,77.48,-69.36,1541986307
Tocopilla,CL,2018-11-12,56.98,100,2.26,44,-22.09,-70.2,1541986760
Gora,GE,2018-11-12,37.4,74,3.36,75,41.25,44.29,1541984400
New Norfolk,AU,2018-11-12,69.8,32,5.82,0,-42.78,147.06,1541984400
Airai,TL,2018-11-12,85.83,55,1.32,8,-8.93,125.41,1541986298
Sabang,PH,2018-11-12,77.73,100,7.85,92,13.72,123.58,1541986358
Arraial do Cabo,BR,2018-11-12,73.09,97,13.56,44,-22.97,-42.02,1541986308
Noumea,NC,2018-11-12,84.2,54,8.05,20,-22.28,166.46,1541984400
Chuy,UY,2018-11-12,69.04,96,15.46,48,-33.69,-53.46,1541986369
Vaini,IN,2018-11-12,76.24,43,5.79,0,15.34,74.49,1541986302
Salalah,OM,2018-11-12,75.2,83,3.36,20,17.01,54.1,1541983800
